id,type,acct_balance
10749,703-004-5395,1178.9482
1075,703-004-5398,3736.7856
10750,703-004-5395,5452.276
10751,703-004-5396,3088.8801
10752,703-004-5387,1308.5562
10753,703-004-5397,2319.0886
10754,703-004-5395,2046.7609
10755,703-004-5381,7336.337
10756,703-004-5394,2958.365
10757,703-004-5395,6443.4365
10758,703-004-5398,726.75885
10759,703-004-5386,9668.912
1076,703-004-5382,7593.6997
10760,703-004-5382,3586.3787
10761,703-004-5393,8602.366
10762,207-008-2399,6144.968
10763,207-008-2399,4412.223
10764,703-004-5392,5062.255
10765,703-004-5392,760.892
10766,703-004-5391,9440.196
10767,703-004-5384,589.05066
10768,703-004-5395,8274.59
10769,703-004-5397,2921.7876
1077,207-008-2398,6787.761
10770,703-004-5395,6149.4536
10771,703-004-5398,5198.6885
10772,703-004-5380,3172.7534
10773,703-004-5381,8379.141
10774,703-004-5391,4961.8022
10775,703-004-5384,6265.905
10776,703-004-5397,819.8786
10777,703-004-5393,6529.4473
10778,703-004-5382,5158.5264
10779,703-004-5386,370.03458
1078,703-004-5384,4947.893
10780,703-004-5397,7053.333
10781,703-004-5399,3834.843
10782,703-004-5385,2958.6494
10783,703-004-5387,8083.225
10784,207-008-2398,8926.156
10785,703-004-5382,5734.907
10786,703-004-5396,4924.1777
10787,703-004-5382,8323.974
10788,703-004-5394,6698.7397
10789,703-004-5383,5837.605
1079,703-004-5385,3238.7668
10790,703-004-5380,1681.7397
10791,703-004-5390,8283.273
10792,703-004-5387,3919.5317
10793,703-004-5393,5287.8354
10794,703-004-5393,8556.491
10795,703-004-5388,5821.0747
10796,703-004-5395,3499.0137
10797,703-004-5389,3939.194
10798,703-004-5396,8075.562
10799,703-004-5390,9386.873
108,703-004-5394,8508.105
1080,703-004-5382,2196.9443
10800,703-004-5388,3529.3687
10801,703-004-5395,2858.2275
10802,703-004-5382,1122.2219
10803,703-004-5385,279.6173
10804,207-008-2398,2208.0999
10805,703-004-5396,9103.449
10806,703-004-5388,8209.033
10807,703-004-5399,3982.6167
10808,703-004-5383,4505.035
10809,703-004-5383,5401.8955
1081,703-004-5381,4215.3174
10810,207-008-2398,5239.506
10811,703-004-5393,6722.694
10812,703-004-5381,1350.3873
10813,703-004-5399,3682.9143
10814,703-004-5384,2791.739
10815,703-004-5394,8322.588
10816,703-004-5385,7373.339
10817,703-004-5382,196.90097
10818,703-004-5386,1770.2354
10819,703-004-5391,6870.829
1082,703-004-5396,1999.9362
10820,207-008-2399,8073.7334
10821,703-004-5384,8591.559
10822,703-004-5380,2115.8772
10823,703-004-5386,7170.5317
10824,703-004-5396,5646.9717
10825,703-004-5399,1223.7406
10826,703-004-5392,2613.7798
10827,207-008-2398,3449.5557
10828,703-004-5393,8733.536
10829,703-004-5387,4977.79
1083,703-004-5384,2980.653
10830,703-004-5395,9508.427
10831,703-004-5392,5756.979
10832,703-004-5382,9310.747
10833,703-004-5386,9950.318
10834,703-004-5389,4330.052
10835,703-004-5387,7677.6177
10836,207-008-2399,429.1451
10837,703-004-5397,7788.124
10838,703-004-5394,3479.795
10839,703-004-5390,2202.6848
1084,703-004-5389,7363.5493
10840,703-004-5382,1359.12
10841,703-004-5398,3108.504
10842,703-004-5398,7443.7305
10843,703-004-5390,409.25024
10844,703-004-5395,1261.1168
10845,703-004-5398,9481.238
10846,703-004-5398,6423.8423
10847,703-004-5394,8179.5186
10848,703-004-5391,1197.0323
10849,703-004-5383,2349.6907
1085,703-004-5385,9685.159
10850,703-004-5380,5104.8896
10851,703-004-5382,2199.0557
10852,703-004-5399,7710.3667
10853,703-004-5390,2482.2795
10854,703-004-5396,6905.0713
10855,703-004-5392,9360.861
10856,703-004-5389,6659.687
10857,703-004-5394,8144.6978
10858,703-004-5385,9485.298
10859,703-004-5392,7859.888
1086,703-004-5391,2639.9941
10860,207-008-2399,5518.3784
10861,703-004-5399,4383.8506
10862,703-004-5388,731.2012
10863,703-004-5399,9706.706
10864,703-004-5392,2829.0444
10865,207-008-2398,7576.403
10866,703-004-5396,7355.7324
10867,703-004-5394,8534.893
10868,703-004-5390,1563.316
10869,703-004-5391,2010.8516
1087,703-004-5384,1184.6733
10870,703-004-5386,7885.72
10871,703-004-5391,4504.8784
10872,703-004-5382,4267.813
10873,703-004-5388,3675.0835
10874,703-004-5392,3810.1907
10875,703-004-5395,7153.1743
10876,703-004-5396,2598.8352
10877,703-004-5398,4769.116
10878,703-004-5388,7836.025
10879,703-004-5399,8422.04
1088,703-004-5392,5264.126
10880,703-004-5394,2202.3552
10881,703-004-5387,9925.414
10882,703-004-5398,1058.1523
10883,703-004-5386,8349.574
10884,703-004-5385,9488.503
10885,703-004-5395,7004.009
10886,703-004-5396,8323.112
10887,703-004-5398,7799.5454
10888,703-004-5397,4065.8074
10889,703-004-5382,8812.982
1089,703-004-5392,2977.2705
10890,703-004-5382,8843.828
10891,703-004-5396,3401.6274
10892,703-004-5394,2040.2521
10893,703-004-5380,382.17484
10894,703-004-5381,573.0611
10895,703-004-5392,5078.6274
10896,703-004-5395,460.7916
10897,703-004-5395,8814.6
11121,703-004-5388,8659.977
11122,703-004-5394,5223.4243
11123,703-004-5399,112.97107
11124,703-004-5386,5840.3086
11125,207-008-2398,7940.3506
11126,703-004-5398,418.55692
11127,703-004-5393,3948.0137
11128,703-004-5385,2974.6587
11129,703-004-5381,6812.785
1113,703-004-5392,3199.6453
11130,703-004-5396,3194.346
11131,703-004-5383,9349.812
11132,703-004-5394,8736.708
11133,703-004-5381,8727.188
11134,703-004-5384,289.166
11135,703-004-5397,8339.313
11136,703-004-5392,9423.174
11137,703-004-5394,178.10106
11138,703-004-5395,9815.433
11139,703-004-5399,8122.6367
1114,703-004-5399,6560.806
11140,703-004-5394,4225.7104
11141,703-004-5386,2457.9866
11142,703-004-5388,9019.86
11143,703-004-5384,4093.0469
11144,703-004-5393,3136.5413
11145,703-004-5383,7808.4346
11146,703-004-5399,1185.0989
11147,703-004-5382,5223.515
11148,703-004-5399,0.5429983
11149,703-004-5382,5122.935
1115,703-004-5388,7088.1685
11150,703-004-5380,9258.42
11151,703-004-5382,8295.931
11152,703-004-5380,7055.8755
11153,207-008-2399,6771.534
11154,703-004-5380,7813.8335
11155,703-004-5381,2762.6663
11156,703-004-5383,1588.0537
11157,703-004-5383,8197.702
11158,703-004-5381,4342.9087
11159,703-004-5392,872.4922
1116,703-004-5386,8622.302
11160,703-004-5391,9229.521
11161,703-004-5382,9911.554
11162,703-004-5390,7802.9473
11163,703-004-5391,3240.7605
11164,703-004-5396,4781.8447
11165,703-004-5391,8758.835
11166,703-004-5399,3904.3772
11167,703-004-5391,9003.206
11168,703-004-5384,8032.1216
11169,207-008-2398,2383.4688
1117,703-004-5392,6324.3413
11170,703-004-5385,5498.0166
11171,703-004-5392,6122.5303
11172,207-008-2398,8930.096
11173,703-004-5399,6931.547
11174,703-004-5391,4328.506
11175,703-004-5396,1096.8268
11176,703-004-5387,250.1595
11177,703-004-5382,5219.286
11178,703-004-5392,5732.7275
11179,703-004-5386,3128.2407
1118,703-004-5382,2906.5466
11180,703-004-5383,443.6499
11181,703-004-5389,3053.4048
11182,703-004-5384,5467.6074
11183,207-008-2398,2246.8025
11184,703-004-5385,3391.2249
11185,703-004-5398,3830.7888
11186,703-004-5384,3110.6687
11187,703-004-5395,4447.908
11188,703-004-5382,4367.377
11189,703-004-5388,2320.131
1119,703-004-5395,29.553772
11190,703-004-5399,686.96735
11191,703-004-5396,1723.1041
11192,703-004-5387,5815.8506
11193,703-004-5381,3770.1196
11194,703-004-5382,5608.99
11195,703-004-5385,6615.8755
11196,207-008-2398,6932.725
11197,703-004-5387,205.943
11198,703-004-5384,6969.246
11199,703-004-5384,361.4974
112,703-004-5383,8755.894
1120,703-004-5399,93.72413
11200,703-004-5393,900.40625
11201,703-004-5384,4576.048
11202,703-004-5380,7978.932
11203,207-008-2398,2319.0547
11204,703-004-5386,4059.2349
11205,703-004-5382,2386.0508
11206,703-004-5384,9311.415
11207,703-004-5397,430.01056
11208,207-008-2399,6880.9136
11209,703-004-5399,2056.4795
1121,703-004-5391,5474.7944
11210,207-008-2399,1402.4985
11211,703-004-5380,109.82573
11212,703-004-5384,3645.9558
11213,703-004-5397,4185.253
11214,703-004-5382,3127.6726
11215,703-004-5389,346.91394
11216,703-004-5389,4507.244
11217,703-004-5389,9007.211
11218,703-004-5382,7780.4946
11219,703-004-5393,6445.5654
1122,703-004-5393,8589.666
11220,703-004-5389,1970.9128
11221,703-004-5381,6431.8906
11222,703-004-5390,8670.11
11223,703-004-5380,5974.7603
11224,703-004-5392,2220.977
11225,207-008-2399,317.1468
11226,703-004-5392,7342.897
11227,703-004-5392,7393.8735
11228,703-004-5383,7646.5845
11229,703-004-5397,4596.528
1123,703-004-5388,4952.8247
11230,703-004-5389,3802.181
11231,703-004-5383,1575.445
11232,703-004-5396,4963.991
11233,703-004-5380,1574.3535
11234,703-004-5388,9234.331
11235,703-004-5389,1893.273
11236,703-004-5390,5911.559
11237,703-004-5385,3902.619
11238,207-008-2399,9702.538
11239,207-008-2399,5773.789
1124,703-004-5383,1000.2798
11240,703-004-5397,6023.055
11241,703-004-5382,7009.0015
11242,703-004-5384,1759.0636
11243,703-004-5390,5841.704
11244,703-004-5397,5437.4634
11245,703-004-5380,2064.4314
11246,703-004-5386,4335.7856
11247,703-004-5389,9763.213
11248,703-004-5386,9076.926
11249,703-004-5392,4496.3105
1125,703-004-5386,4410.8804
11250,703-004-5385,3611.5593
11251,703-004-5382,8167.24
11252,703-004-5393,6590.546
11253,207-008-2398,6683.461
11254,703-004-5388,8203.95
11255,207-008-2399,5885.0415
11256,703-004-5394,1284.0295
11257,703-004-5380,6024.5005
11258,703-004-5388,9833.585
11259,703-004-5386,3737.6272
1126,207-008-2398,9754.713
11260,703-004-5383,1601.1989
11261,703-004-5385,6435.1465
11262,703-004-5384,37.338734
11263,703-004-5380,8708.861
11264,703-004-5385,6629.763
11265,703-004-5384,1657.2195
11266,703-004-5384,4930.4946
11267,703-004-5397,3766.1428
11268,207-008-2399,4723.456
11269,703-004-5387,3091.764
1127,703-004-5383,9482.604
11270,703-004-5398,7316.166
11271,703-004-5383,7738.99
11272,703-004-5393,1691.134
11273,703-004-5388,4447.885
11274,703-004-5390,8892.085
11275,703-004-5383,7201.807
11276,703-004-5384,5634.1665
11277,207-008-2399,7512.57
11278,703-004-5384,9451.898
11279,703-004-5399,1198.889
1128,703-004-5397,1992.2667
11280,703-004-5383,7752.132
11281,703-004-5389,8030.396
11282,703-004-5387,5238.864
11283,703-004-5389,7306.804
11284,703-004-5384,409.9983
11285,703-004-5390,5394.3027
11286,703-004-5390,7848.421
11287,703-004-5383,2454.0264
11288,703-004-5393,6144.216
11289,703-004-5394,751.05133
1129,207-008-2399,109.618904
11290,703-004-5383,3362.956
11291,703-004-5392,1702.6764
11292,207-008-2398,8854.242
11293,207-008-2399,7602.5596
11294,703-004-5393,2636.2551
11295,703-004-5396,5424.912
11296,703-004-5380,1327.852
11297,207-008-2399,9764.471
11298,703-004-5387,9869.854
11299,703-004-5380,8726.526
113,703-004-5388,6357.762
1130,703-004-5385,6008.238
11300,703-004-5388,7032.842
11301,703-004-5381,8115.0557
11302,703-004-5390,3636.3328
11303,703-004-5391,7744.4507
11304,207-008-2399,1944.0692
11305,703-004-5398,3300.2114
11306,703-004-5390,4214.08
11307,703-004-5383,1933.7374
11308,207-008-2399,7036.024
11309,703-004-5383,4821.8394
1131,703-004-5381,3478.6128
11310,703-004-5390,7801.2812
11311,703-004-5393,9585.808
11312,703-004-5389,3986.072
11313,703-004-5387,4645.7964
11314,703-004-5398,5660.355
11315,703-004-5387,7195.4453
11316,703-004-5382,9523.879
11317,703-004-5380,1044.8373
11318,703-004-5399,3070.581
11319,703-004-5395,3925.467
1132,703-004-5389,8626.672
11320,703-004-5395,3963.5105
11321,703-004-5382,6105.644
11322,703-004-5388,792.44434
11323,703-004-5398,4252.62
11324,703-004-5393,1298.6892
11325,207-008-2398,8102.096
11326,703-004-5392,1736.4109
11327,703-004-5390,6478.6147
11328,703-004-5394,7680.847
11329,703-004-5392,2803.5134
1133,703-004-5398,7947.5234
11330,703-004-5399,4402.391
11331,703-004-5388,2833.575
11332,703-004-5393,635.10297
11333,703-004-5391,6663.454
11334,703-004-5392,7042.151
11335,703-004-5383,4968.0986
11336,703-004-5394,7240.7817
11337,703-004-5386,5380.459
11338,703-004-5383,243.3169
11339,703-004-5395,120.20827
1134,703-004-5381,8072.721
11340,703-004-5393,3357.9968
11341,207-008-2399,8209.573
11342,703-004-5386,9270.882
11343,703-004-5383,4744.8047
11344,207-008-2398,1534.8339
11345,703-004-5382,8685.855
11346,703-004-5380,135.83421
11572,703-004-5387,1003.0246
11573,703-004-5388,7170.9404
11574,703-004-5391,2158.1472
11575,703-004-5386,2337.8694
11576,703-004-5390,474.8404
11577,703-004-5384,7476.626
11578,703-004-5399,3556.6802
11579,703-004-5387,8370.532
1158,703-004-5388,6702.8394
11580,703-004-5389,2335.223
11581,703-004-5387,6181.07
11582,703-004-5382,9651.121
11583,703-004-5386,7127.1313
11584,703-004-5387,8698.935
11585,207-008-2399,616.6393
11586,703-004-5396,9234.506
11587,703-004-5386,9090.042
11588,703-004-5393,1940.7064
11589,703-004-5389,7838.194
1159,703-004-5389,83.90605
11590,703-004-5384,4941.3433
11591,703-004-5399,6303.4263
11592,703-004-5389,1440.2837
11593,703-004-5386,1009.48694
11594,703-004-5389,1807.245
11595,703-004-5388,7495.23
11596,207-008-2398,1768.0645
11597,703-004-5399,7028.6914
11598,703-004-5394,4552.9624
11599,703-004-5399,3144.8984
116,703-004-5381,9318.117
1160,703-004-5387,8806.119
11600,703-004-5394,9232.55
11601,703-004-5390,6464.12
11602,703-004-5387,6333.762
11603,703-004-5391,739.32886
11604,703-004-5397,9919.298
11605,703-004-5396,8238.859
11606,703-004-5387,8177.2275
11607,703-004-5390,8224.668
11608,703-004-5380,2782.5803
11609,703-004-5395,1515.4552
1161,207-008-2399,5875.5254
11610,703-004-5383,4146.643
11611,703-004-5396,1208.2327
11612,703-004-5389,1071.0531
11613,703-004-5385,4558.8555
11614,207-008-2399,4938.959
11615,703-004-5380,7882.021
11616,703-004-5391,6126.9824
11617,703-004-5381,7746.3955
11618,703-004-5388,1817.562
11619,703-004-5382,4272.567
1162,703-004-5397,1577.4858
11620,703-004-5385,6042.726
11621,703-004-5395,920.8888
11622,207-008-2398,3486.6882
11623,703-004-5394,8715.332
11624,703-004-5384,3227.0098
11625,703-004-5393,7438.9355
11626,703-004-5397,392.01855
11627,703-004-5396,8231.74
11628,703-004-5393,4964.223
11629,703-004-5382,9651.926
1163,703-004-5380,5576.433
11630,703-004-5389,9382.8545
11631,703-004-5388,5549.174
11632,703-004-5383,2309.7456
11633,703-004-5392,5203.995
11634,703-004-5390,4784.976
11635,703-004-5381,8402.679
11636,703-004-5391,7662.6562
11637,703-004-5387,9618.319
11638,703-004-5397,8764.002
11639,703-004-5387,3061.2314
1164,703-004-5389,6613.9116
11640,703-004-5388,5899.1025
11641,703-004-5383,7931.8374
11642,703-004-5383,9158.056
11643,703-004-5396,3173.7305
11644,703-004-5381,4198.9185
11645,703-004-5387,2528.792
11646,703-004-5391,5460.3237
11647,703-004-5393,4619.7124
11648,703-004-5380,5348.8804
11649,207-008-2398,6727.6562
1165,703-004-5380,6713.8696
11650,703-004-5395,7993.293
11651,703-004-5391,7791.3022
11652,703-004-5383,2153.278
11653,207-008-2399,2305.5894
11654,703-004-5388,5273.0767
11655,703-004-5386,863.1069
11656,703-004-5399,4101.374
11657,703-004-5398,8039.6133
11658,703-004-5390,2734.748
11659,703-004-5397,3553.5288
1166,703-004-5396,7097.5493
11660,703-004-5388,2140.7688
11661,703-004-5393,7318.644
11662,207-008-2398,7490.7334
11663,703-004-5389,8987.528
11664,703-004-5382,4519.485
11665,703-004-5398,6617.5615
11666,703-004-5383,8742.643
11667,703-004-5380,2971.1943
11668,207-008-2399,6355.001
11669,703-004-5388,290.47488
1167,703-004-5386,3311.1829
11670,703-004-5397,4838.8345
11671,703-004-5387,4311.484
11672,703-004-5384,9702.917
11673,703-004-5394,1658.9684
11674,207-008-2399,4383.812
11675,207-008-2398,2031.5302
11676,703-004-5380,2651.509
11677,703-004-5392,9924.871
11678,703-004-5385,4334.8784
11679,703-004-5382,4369.6304
1168,207-008-2399,3279.9893
11680,703-004-5386,2301.5952
11681,703-004-5382,3360.4675
11682,703-004-5384,9665.418
11683,207-008-2398,5508.426
11684,703-004-5383,5474.219
11685,207-008-2399,4930.4233
11686,703-004-5389,3121.6848
11687,703-004-5387,7696.725
11688,703-004-5389,3971.0693
11689,703-004-5383,6234.592
1169,703-004-5380,5140.359
11690,703-004-5396,2957.6338
11691,703-004-5383,7825.218
11692,703-004-5391,2926.8987
11693,703-004-5380,5742.1074
11694,703-004-5393,2703.8748
11695,703-004-5398,1712.8569
11696,703-004-5391,3322.5679
11697,703-004-5397,8736.735
11698,207-008-2399,8077.0933
11699,703-004-5380,2376.082
117,703-004-5391,6702.9736
1170,703-004-5396,6303.2544
11700,703-004-5398,6190.6846
11701,703-004-5392,1317.7043
11702,703-004-5383,8119.891
11703,703-004-5386,4694.6978
11704,703-004-5390,5051.635
11705,703-004-5383,9571.81
11706,703-004-5384,625.46967
11707,703-004-5382,3700.341
11708,207-008-2398,5686.4517
11709,703-004-5395,4760.2866
1171,703-004-5397,8452.067
